['-12', '2', '0.015', '0.09', '56', '10', '0.001', '0.001', '3', 'True', '309', '68', '22.006472491909385']
['-12', '2', '0.015', '0.09', '56', '10', '0.0006', '0.001', '3', 'True', '299', '66', '22.073578595317723']
['-12', '3', '0.015', '0.07', '72', '10', '0.0006', '0.001', '3', 'True', '285', '64', '22.45614035087719']
['-12', '3', '0.015', '0.08', '72', '10', '0.0006', '0.001', '3', 'True', '286', '64', '22.377622377622377']
['-12', '3', '0.015', '0.09', '72', '10', '0.0006', '0.001', '3', 'True', '286', '64', '22.377622377622377']
['-12', '2', '0.015', '0.07', '72', '10', '0.001', '0.001', '3', 'False', '242', '55', '22.727272727272727']
['-12', '2', '0.015', '0.08', '72', '10', '0.001', '0.001', '3', 'False', '243', '55', '22.633744855967077']
['-12', '2', '0.015', '0.09', '72', '10', '0.001', '0.001', '3', 'False', '243', '55', '22.633744855967077']
['-12', '3', '0.015', '0.07', '56', '10', '0.0006', '0.001', '3', 'True', '233', '55', '23.605150214592275']
['-12', '3', '0.015', '0.07', '56', '10', '0.0008', '0.001', '3', 'True', '240', '55', '22.916666666666664']
['-12', '3', '0.015', '0.08', '56', '10', '0.0006', '0.001', '3', 'True', '233', '55', '23.605150214592275']
['-12', '3', '0.015', '0.08', '56', '10', '0.0008', '0.001', '3', 'True', '240', '55', '22.916666666666664']
['-12', '3', '0.015', '0.09', '56', '10', '0.0006', '0.001', '3', 'True', '233', '55', '23.605150214592275']
['-12', '3', '0.015', '0.09', '56', '10', '0.0008', '0.001', '3', 'True', '240', '55', '22.916666666666664']
['-12', '3', '0.015', '0.09', '48', '10', '0.0006', '0.001', '3', 'True', '198', '48', '24.242424242424242']
['-12', '3', '0.015', '0.09', '48', '10', '0.0008', '0.001', '3', 'True', '208', '48', '23.076923076923077']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.001', '3', 'True', '198', '48', '24.242424242424242']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.001', '3', 'True', '208', '48', '23.076923076923077']
['-12', '3', '0.015', '0.07', '48', '10', '0.0006', '0.001', '3', 'True', '198', '48', '24.242424242424242']
['-12', '3', '0.015', '0.07', '48', '10', '0.0008', '0.001', '3', 'True', '208', '48', '23.076923076923077']
['-12', '2', '0.015', '0.07', '48', '10', '0.001', '0.001', '3', 'False', '177', '41', '23.163841807909606']
['-12', '2', '0.015', '0.08', '48', '10', '0.001', '0.001', '3', 'False', '178', '41', '23.03370786516854']
['-12', '2', '0.015', '0.09', '48', '10', '0.001', '0.001', '3', 'False', '178', '41', '23.03370786516854']
['-12', '3', '0.025', '0.08', '72', '10', '0.001', '0.001', '3', 'False', '105', '27', '25.71428571428571']
['-12', '3', '0.025', '0.09', '72', '10', '0.0008', '0.001', '3', 'False', '104', '27', '25.961538461538463']
['-12', '3', '0.025', '0.09', '72', '10', '0.001', '0.001', '3', 'False', '106', '27', '25.471698113207548']
['-12', '3', '0.025', '0.07', '72', '10', '0.0008', '0.001', '3', 'False', '103', '27', '26.21359223300971']
['-12', '3', '0.025', '0.07', '72', '10', '0.0006', '0.001', '3', 'True', '125', '27', '21.6']
['-12', '3', '0.025', '0.07', '72', '10', '0.001', '0.001', '3', 'False', '105', '27', '25.71428571428571']
['-12', '3', '0.025', '0.08', '72', '10', '0.0008', '0.001', '3', 'False', '103', '27', '26.21359223300971']
['-12', '3', '0.025', '0.07', '72', '10', '0.0006', '0.001', '3', 'False', '96', '25', '26.041666666666668']
['-12', '3', '0.025', '0.08', '72', '10', '0.0006', '0.001', '3', 'False', '96', '25', '26.041666666666668']
['-12', '3', '0.025', '0.09', '72', '10', '0.0006', '0.001', '3', 'False', '97', '25', '25.773195876288657']
['-12', '2', '0.025', '0.09', '56', '10', '0.0008', '0.001', '3', 'False', '95', '23', '24.210526315789473']
['-12', '2', '0.025', '0.09', '56', '10', '0.001', '0.001', '3', 'False', '95', '23', '24.210526315789473']
['-12', '2', '0.025', '0.08', '56', '10', '0.0008', '0.001', '3', 'False', '95', '23', '24.210526315789473']
['-12', '2', '0.025', '0.08', '56', '10', '0.001', '0.001', '3', 'False', '95', '23', '24.210526315789473']
['-12', '2', '0.025', '0.07', '48', '10', '0.001', '0.001', '3', 'False', '84', '22', '26.190476190476193']
['-12', '2', '0.025', '0.08', '48', '10', '0.001', '0.001', '3', 'False', '85', '22', '25.882352941176475']
['-12', '2', '0.025', '0.09', '48', '10', '0.001', '0.001', '3', 'False', '85', '22', '25.882352941176475']
['-12', '2', '0.025', '0.08', '48', '10', '0.0008', '0.001', '3', 'False', '84', '21', '25.0']
['-12', '3', '0.025', '0.07', '56', '10', '0.0006', '0.001', '3', 'False', '69', '18', '26.08695652173913']
['-12', '3', '0.025', '0.08', '56', '10', '0.0006', '0.001', '3', 'False', '69', '18', '26.08695652173913']
['-12', '3', '0.025', '0.09', '56', '10', '0.0006', '0.001', '3', 'False', '69', '18', '26.08695652173913']


['-12', '2', '0.015', '0.08', '48', '10', '0.001', '0.0012', '2', 'True', '302', '67', '22.185430463576157']
['-12', '2', '0.015', '0.09', '48', '10', '0.001', '0.0012', '2', 'True', '303', '68', '22.442244224422442']
